politician_id,gun_control,abortion,privatization,welfare_state,age_criminal
1,0,1,1,1,1
2,0,1,1,1,0
3,0,0,1,0,1
4,0,0,1,0,1
5,0,0,1,0,1
6,0,0,1,0,1
7,0,0,1,0,1
8,0,0,1,0,1
9,0,0,1,0,1
10,0,0,1,0,1
11,0,0,1,0,0
12,0,0,1,1,0
13,1,0,0,0,0
14,0,1,0,0,0
15,0,0,0,0,0
16,1,1,0,0,0
17,0,0,1,0,0
18,0,0,0,0,0
19,0,0,1,0,0
20,0,0,1,0,0
21,1,1,0,1,0
22,1,1,0,1,0
23,1,1,0,1,0
24,1,1,0,1,0
25,1,1,1,1,1
26,0,1,1,1,1
27,0,1,1,1,0
28,0,0,1,0,1
29,0,0,1,0,1
30,0,0,1,0,1
31,0,0,1,0,1
32,0,0,1,0,1
33,0,0,1,0,1
34,0,0,1,0,1
35,0,0,1,0,1
36,1,1,0,1,0
37,1,1,0,1,0
38,1,1,0,1,0
39,1,1,0,1,0
40,1,1,0,1,0
41,1,1,0,1,0
42,1,1,1,1,1
43,0,0,0,0,0
44,1,0,1,0,1
44,0,0,1,0,1
45,0,1,0,1,0
46,1,0,0,1,0
47,0,0,0,1,0
48,0,0,1,0,1
49,1,1,1,0,0
50,1,1,0,0,0
